City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,saint-pierre,-21.3393,55.4781,29.55,79,75,4.12,RE,1705401172
83,kuching,1.55,110.3333,27.83,94,40,0.51,MY,1705401172
84,chinde,26.8418,88.0763,8.17,51,5,1.7,NP,1705401173
85,hasaki,35.7333,140.8333,1.22,43,34,10.04,JP,1705400902
86,palikir - national government center,6.9248,158.1611,27.41,78,75,1.54,FM,1705401173
87,crane,31.3974,-102.3501,-8.46,42,84,4.15,US,1705401173
88,edinburgh of the seven seas,-37.0676,-12.3116,18.45,94,99,8.59,SH,1705401174
89,atafu village,-8.5421,-172.5159,29.41,71,99,4.05,TK,1705400873
90,thompson,55.7435,-97.8558,-20.91,71,100,5.14,CA,1705400880
91,akita,39.7167,140.1167,-1.48,86,75,6.69,JP,1705401174
92,viedma,-40.8135,-62.9967,18.6,75,4,4.04,AR,1705400960
93,stanley,54.868,-1.6985,-0.26,86,0,2.57,GB,1705400870
94,porto seguro,-16.4497,-39.0647,25.29,94,40,1.54,BR,1705401175
95,bredasdorp,-34.5322,20.0403,24.19,55,73,6.78,ZA,1705400883
96,weyburn,49.6668,-103.8511,-25.88,48,35,3.6,CA,1705401008
97,illapel,-31.6308,-71.1653,17.67,64,0,1.35,CL,1705401175
98,arraial do cabo,-22.9661,-42.0278,26.92,78,0,4.12,BR,1705400943
99,fenghuang,27.9356,109.5996,5.19,92,100,2.02,CN,1705401176
100,vilyuchinsk,52.9306,158.4028,-6.85,94,100,4.08,RU,1705400967
101,san patricio,28.017,-97.5169,-2.87,42,46,9.07,US,1705400902
102,maues,-3.3836,-57.7186,23.72,96,44,1.23,BR,1705401176
103,vadso,70.0744,29.7487,-9.91,79,75,4.12,NO,1705400886
104,ancud,-41.8697,-73.8203,9.33,92,13,1.89,CL,1705400944
105,puerto san jose,13.9256,-90.8244,23.32,83,75,2.22,GT,1705400893
106,revda,56.801,59.9303,-8.93,79,100,5.38,RU,1705401177
107,uturoa,-16.7333,-151.4333,27.27,82,95,10.09,PF,1705400900
108,el granada,37.5027,-122.4694,11.31,93,100,0.0,US,1705401177
109,togur,58.3631,82.8265,-23.25,96,74,3.13,RU,1705400974
110,were ilu,10.6,39.4333,21.7,29,94,5.26,ET,1705401178
111,aspen,39.1911,-106.8175,-11.96,72,0,2.57,US,1705401007
112,queenstown,-31.8976,26.8753,27.83,43,26,5.24,ZA,1705401015
113,yellowknife,62.456,-114.3525,-31.44,84,20,2.57,CA,1705400899
114,west island,-12.1568,96.8225,29.99,84,9,4.63,CC,1705400870
115,banda aceh,5.5577,95.3222,28.47,74,60,5.52,ID,1705401179
116,punta arenas,-53.15,-70.9167,9.06,76,75,3.09,CL,1705400883
117,wynyard,-41.0,145.7167,18.05,90,3,4.84,AU,1705400887
118,tolanaro,-25.0319,46.9987,29.04,79,40,5.14,MG,1705400871
119,tiksi,71.6872,128.8694,-29.63,98,99,2.7,RU,1705400943
120,indergarh,26.9352,79.6724,18.77,30,29,1.33,IN,1705401119
121,nova sintra,14.8667,-24.7167,22.13,71,99,3.75,CV,1705400896
122,bardai,11.65,7.2333,25.25,11,18,8.29,NG,1705401181
123,talnakh,69.4865,88.3972,-33.22,97,98,3.0,RU,1705400954
124,yeosu,34.7546,127.6599,4.35,40,94,0.91,KR,1705401181
125,dongcun,36.7767,121.1597,0.42,79,82,2.68,CN,1705401181
126,paso de los toros,-32.8167,-56.5167,23.56,65,88,5.49,UY,1705401182
127,margate,51.3813,1.3862,2.61,64,67,2.24,GB,1705400990
128,bargaal,11.2864,51.0773,28.12,65,14,5.89,SO,1705401182
129,doaba,33.4244,70.7364,16.07,22,1,2.2,PK,1705401182
130,whitehorse,60.7161,-135.0538,-18.57,84,20,1.54,CA,1705400884
131,isangel,-19.55,169.2667,26.58,88,25,3.66,VU,1705401183
132,katsuura,35.1333,140.3,5.53,44,0,10.62,JP,1705401183
133,colonia,50.9333,6.95,2.2,73,0,5.14,DE,1705400972
134,jamestown,42.097,-79.2353,-8.23,66,100,3.09,US,1705400854
135,barra de santo antonio,-9.4047,-35.5072,26.6,61,42,4.04,BR,1705401184
136,nirgua,10.1553,-68.5663,18.56,95,53,0.22,VE,1705401184
137,praia da vitoria,38.7333,-27.0667,12.09,87,20,4.44,PT,1705400919
138,haiku-pauwela,20.9219,-156.3051,23.36,88,75,8.23,US,1705401185
139,bytow,54.1706,17.4919,-3.77,53,30,4.29,PL,1705401185
140,papatowai,-46.5619,169.4708,10.07,92,5,1.4,NZ,1705400866
141,san luis de la loma,17.2706,-100.8939,23.08,78,9,1.24,MX,1705401185
142,constantia,44.1833,28.65,7.61,60,60,7.15,RO,1705400882
143,yemanzhelinsk,54.7547,61.3208,-14.34,79,100,6.4,RU,1705401186
144,sakaiminato,35.55,133.2333,4.99,52,40,1.03,JP,1705401186
145,beaconsfield,45.4334,-73.8659,-6.63,85,100,1.03,CA,1705401186
146,zapolyarnyy,69.4154,30.8136,-17.4,95,100,2.85,RU,1705401186
147,coari,-4.085,-63.1414,23.67,98,78,1.22,BR,1705401187
148,mount pearl,47.5166,-52.7813,-3.25,75,40,8.75,CA,1705400992
149,vernon,50.2581,-119.2691,-12.61,73,100,2.57,CA,1705401018
150,malvan,16.0667,73.4667,26.86,55,37,6.2,IN,1705401187
151,borazjan,29.2666,51.2159,24.73,35,46,4.71,IR,1705401187
152,skovorodino,53.9833,123.9167,-17.9,99,100,0.39,RU,1705401188
153,albany,42.6001,-73.9662,-5.43,78,100,1.31,US,1705400732
154,bhimunipatnam,17.8833,83.4333,26.73,74,80,6.14,IN,1705401188
155,hithadhoo,-0.6,73.0833,28.25,69,8,5.62,MV,1705400988
156,puerto ayora,-0.7393,-90.3518,24.75,97,21,1.79,EC,1705400904
157,samana,19.2056,-69.3369,25.02,80,91,5.52,DO,1705401016
158,donetsk,48.0,37.8,4.62,95,100,8.39,UA,1705401189
159,tamanrasset,22.785,5.5228,21.95,5,0,1.03,DZ,1705401190
160,nabire,-3.3667,135.4833,25.08,92,100,0.88,ID,1705400939
161,harrai,22.6167,79.2167,24.97,28,3,1.88,IN,1705401190
162,mountain home,43.133,-115.6912,-16.99,65,0,1.54,US,1705401190
163,maintirano,-18.0667,44.0167,29.24,73,79,6.48,MG,1705400991
164,aasiaat,68.7098,-52.8699,-16.54,90,16,2.15,GL,1705400878
165,hamilton,39.1834,-84.5333,-11.65,74,100,5.66,US,1705401191
